Lane,Speed,StreetType,Distance,Received
2,13.88,primary,44.69531304,FALSE
2,13.88,primary,48.88660365,TRUE
2,13.88,primary,48.88660365,TRUE
0,13.88,pedestrian,54.88722924,TRUE
2,13.88,primary,54.88722924,TRUE
2,13.88,primary,61.92989287,TRUE
2,13.88,primary,69.67208048,TRUE
2,13.88,primary,76.07421857,TRUE
2,13.88,primary,82.25152678,TRUE
2,13.88,primary,88.9764073,TRUE
2,13.88,primary,94.05557451,FALSE
2,13.88,primary,99.49088851,TRUE
2,13.88,primary,103.988119,TRUE
0,13.88,residential,109.3798644,TRUE
2,13.88,primary,109.3798644,TRUE
2,13.88,primary,109.3798644,TRUE
2,13.88,primary,115.7486238,FALSE
2,13.88,primary,116.0905933,TRUE
2,13.88,primary,121.6780482,TRUE
2,13.88,primary,130.1077399,TRUE
2,13.88,primary,138.587268,FALSE
2,13.88,primary,146.3092865,TRUE
2,13.88,primary,154.2443338,TRUE
2,13.88,primary,163.7762657,TRUE
2,13.88,primary,172.7459393,FALSE
2,13.88,primary,178.47844,TRUE
2,13.88,primary,188.8351452,TRUE
2,13.88,primary,199.9113698,FALSE
2,13.88,primary,209.1213193,TRUE
2,13.88,primary,221.855343,FALSE
2,13.88,primary,232.088778,TRUE
2,13.88,primary,246.1574523,TRUE
2,13.88,primary,259.7469525,FALSE
2,13.88,primary,269.2396853,TRUE
2,13.88,primary,279.9804331,FALSE
2,13.88,primary,287.4827877,TRUE
2,13.88,primary,299.2744312,FALSE
2,13.88,primary,310.0874672,TRUE
2,13.88,primary,323.1318868,FALSE
2,13.88,primary,331.5481485,TRUE
2,13.88,primary,337.9540041,FALSE
0,13.88,residential,342.1618353,FALSE
0,13.88,residential,346.2780919,TRUE
0,13.88,residential,349.326004,FALSE
0,13.88,residential,352.4298996,FALSE
0,13.88,residential,349.5268387,FALSE
0,13.88,residential,340.914236,FALSE
